,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.773660715950803,0.6294763088226318,2.249841690063477,6.473743097505977,1.1551669836044312,4.339681625366211,6.434826692047119,1.194000005722046,4.589999675750732,5.167754702091698e+30,84.50546077806122,1.4052775716991151e-06,1.1849088373134089e-13,2.6053805028490613e-27,0.0003572776913642,0.0010856315493583,0.0010856315493583,0.0010856315493583,1.871625661849976,1,127.51516556739809,1024.0,0.0001,0.02,12491.0,2.0,0
1,1,5.9956159906133575,2.764523506164551,8.910117149353027,5.723802572036586,3.83234453201294,12.160473823547363,5.606303141174316,4.533999919891357,13.329999923706056,5.239131269196884e+29,14.89194036989796,1.4135699832327653e-06,1.2043098978222124e-13,2.7080321130310085e-27,0.0007873997092247,0.0013947375118732,0.0013947375118732,0.0013947375118732,0.0255504250526428,2,133.9427318572998,1024.0,0.0001,0.04,12491.0,2.0,0
2,2,5.413656270376664,5.974348068237305,16.976621627807617,5.508304725019328,5.128005027770996,15.462066650390623,5.364322222900391,6.263999938964844,17.8799991607666,1.094089011536139e+29,5.6774298220264665,1.4011311759456203e-06,1.1980658821361978e-13,2.718859406066851e-27,0.0019326917827129,0.0019327066838741,0.0019327066838741,0.0019327066838741,0.0019328072667121,3,137.50456714630127,1024.0,0.0001,0.06,12491.0,2.0,0
3,3,4.979884852888259,9.522878646850586,24.42342758178711,5.200320409678906,7.922260284423828,21.15984916687012,4.997677275543213,8.84000015258789,23.873998641967773,2.823251217974224e+28,2.837633716816805,1.3766084564717133e-06,1.1865297393603682e-13,2.7379994302272414e-27,0.0019103363156318,0.0019114278256893,0.0019114278256893,0.0019114278256893,0.0019146613776683,4,128.87679839134216,1024.0,0.0001,0.08,12492.0,2.0,0
4,4,4.606705567301779,13.487065315246582,31.380464553833008,4.834519580867266,11.426787376403809,27.38838577270508,4.596707376556396,13.231999397277832,31.07599830627441,7.459997890852904e+27,1.2944202812350527,1.3462593524464874e-06,1.163129867912131e-13,2.6872191300388746e-27,0.0022537410259246,0.0022543370723724,0.0022543370723724,0.0022543370723724,0.0022547245025634,5,131.721426486969,1024.0,0.0001,0.1,12492.0,2.0,0
5,5,4.273876774040345,17.377456665039062,37.5907096862793,4.691931582375537,13.221979141235352,30.54167938232422,4.427493670349121,15.369999885559082,34.85799789428711,3.765501696644666e+27,0.7529990527094627,1.3215437331731931e-06,1.1610153899317938e-13,2.744921665140418e-27,0.0026209764182567,0.0029405131936073,0.0029405131936073,0.0029405206441879,0.0029408074915409,6,135.0293366909027,1024.0,0.0001,0.1,12493.0,2.0,0
6,6,4.004924838891045,20.870481491088867,42.67666244506836,4.744215659785561,15.110833168029783,32.90665054321289,4.51181071105957,16.987998962402344,36.96199798583984,2.3627606594140537e+27,0.4072930472237723,1.307967285703444e-06,1.1547485245252944e-13,2.753063662568736e-27,0.0069620572030544,0.0069620572030544,0.0069620572030544,0.0069620572030544,0.0069620572030544,7,120.85168480873108,1024.0,0.0001,0.1,12493.0,2.0,0
7,7,3.787345323476936,23.9393367767334,46.80547332763672,4.420150688652541,16.70309066772461,35.44333267211914,4.097657907562256,19.53199958801269,40.98600006103516,1.786170484754209e+27,0.2899005656339684,1.2893094547460659e-06,1.1501045385454113e-13,2.7245564242422557e-27,0.000397689640522,0.000398151576519,0.0003981627523899,0.0003981702029705,0.0003984048962593,8,120.88269519805908,1024.0,0.0001,0.1,12493.0,2.0,0
8,8,3.61186683776722,26.51243019104004,50.01088333129883,3.846346542085665,22.853574752807617,45.30908203125,3.5045439847564697,26.821998596191406,51.65999984741211,1.3841253209811878e+27,0.1682240817011619,1.2737727248107013e-06,1.14396631267107e-13,2.733186822515054e-27,0.0002426616847515,0.0002426616847515,0.0002426616847515,0.0002426616847515,0.0002426616847515,9,136.27189207077026,1024.0,0.0001,0.1,12493.0,2.0,0
9,9,3.4698363680654105,28.6884765625,52.69246292114258,3.947584498646927,22.049640655517575,44.28660583496094,3.6304906353759767,25.52400016784668,49.56999969482422,1.1902302658568534e+27,0.13497137536807935,1.2712694604409643e-06,1.1540086549701418e-13,2.7738662329540334e-27,0.0008378997445106,0.0008381679654121,0.0008381679654121,0.0008381679654121,0.0008397586643695,10,134.93285012245178,1024.0,0.0001,0.1,12493.0,2.0,0
