,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.570573191242466,1.0899147987365725,3.783322811126709,6.262774361173622,1.9200748205184937,6.657820701599121,6.159363410339355,2.113999843597412,7.455999851226807,1.7234325591844192e+30,34.784022739955354,1.403180752146343e-06,1.1784599431240015e-13,2.5891300597255614e-27,0.000123843550682,0.0012924224138259,0.0012924224138259,0.0012924224138259,0.1109556555747985,1,266.2734863758087,1024,0.0001,0.02,12491,0,0
1,1,5.5143175394091015,5.426552295684815,15.648446083068848,5.456449037189228,5.830471038818359,16.87480354309082,5.2719609698486325,6.5879998207092285,18.857999801635746,2.2963115263756643e+29,8.825407689931442,1.39178864475555e-06,1.173420700921485e-13,2.593609629298452e-27,0.0003395564854145,0.0003684125840663,0.0003684125840663,0.0003684125840663,0.0004008710384368,2,245.5430603027344,1024,0.0001,0.04,12492,0,0
2,2,4.789436073403737,11.56851863861084,27.93411445617676,5.168490159299424,8.913517951965332,22.681859970092773,4.881840402832031,10.76200008392334,26.38999938964844,4.757611392877895e+28,4.057879389548789,1.3587998659312097e-06,1.154522883535497e-13,2.5931309799429177e-27,5.9761106967926025e-05,6.0208141803741455e-05,6.0208141803741455e-05,6.0208141803741455e-05,8.850172162055969e-05,3,256.90914964675903,1024,0.0001,0.06,12492,0,0
3,3,4.25645825251208,17.632274627685547,37.95574951171875,4.821561772116936,12.082422256469728,28.200124740600582,4.522203786926269,13.81999969482422,32.737998962402344,1.0955247998415909e+28,1.9663599753866394,1.32628453388961e-06,1.1451848179577442e-13,2.6178868700571738e-27,0.0006895363330841,0.0006931833922863,0.0006931833922863,0.0006931833922863,0.0006954781711101,4,240.44995021820068,1024,0.0001,0.08,12493,0,0
4,4,3.873492892855448,22.715389251708984,45.27278137207031,4.201670430654144,19.07586669921875,39.86106491088867,3.903318939208984,22.027999877929688,45.09799957275391,3.652550954515769e+27,0.9532090011908083,1.2884000518835529e-06,1.1313858937272712e-13,2.6519693155870163e-27,0.0003253519535064,0.0003303438425064,0.0003304183483123,0.0003304779529571,0.0003353357315063,5,254.2598392963409,1024,0.0001,0.1,12493,0,0
5,5,3.5716315040986464,27.13291931152344,50.85859298706055,3.85634032384031,23.727754592895508,45.94130325317383,3.522794778518677,26.9739990234375,51.87999725341797,2.0617822549418356e+27,0.516474976831553,1.271574705691474e-06,1.1288145311916439e-13,2.621709288443043e-27,0.0055513009428977,0.0055550783872604,0.0055551268160343,0.005555160343647,0.0055583454668521,6,245.30436253547668,1024,0.0001,0.1,12493,0,0
6,6,3.331034612139687,30.88533592224121,55.33052444458008,3.765666328665989,24.42241477966309,47.79113006591797,3.406891974029541,28.751998901367188,53.63999938964844,1.4427629455989802e+27,0.2529440704657107,1.247301248729187e-06,1.12929975818869e-13,2.6708584455064848e-27,0.0042891912162303,0.0043152198195457,0.00431539863348,0.0043154843151569,0.0043337680399417,7,267.4332535266876,1024,0.0001,0.1,12493,0,0
7,7,3.1539725569412758,33.69669342041016,58.48106002807617,3.725260314143452,25.897594451904297,48.9306869506836,3.334126058807373,29.82999992370605,55.57999801635742,1.3937949566506738e+27,0.200380734034947,1.2258710056189462e-06,1.1228013196534218e-13,2.693352320745099e-27,0.0052052810788154,0.0052090547978878,0.0052091628313064,0.0052092224359512,0.0052115470170974,8,346.7304723262787,1024,0.0001,0.1,12493,0,0
8,8,3.023261847336525,35.89323425292969,60.82976913452149,3.396424215509115,30.90852165222168,54.41773223876953,2.973203052368164,35.992000579833984,61.887996673583984,1.221232970751774e+27,0.11763395581926618,1.2199153034739462e-06,1.1268708768428223e-13,2.7368518948420606e-27,0.0005320385098457,0.0005390495061874,0.0005397163331508,0.0005410909652709,0.000759370625019,9,328.08182740211487,1024,0.0001,0.1,12493,0,0
9,9,2.911088637322873,37.82881164550781,62.723087310791016,3.448375936824383,30.182640075683597,54.50358963012695,3.0763523343658448,34.20399856567383,60.77799987792969,1.2686298136138346e+27,0.13325087878168845,1.2007641404623226e-06,1.109314931263246e-13,2.6650840765374404e-27,0.0012639760971069,0.0012753680348396,0.0012760311365127,0.0012765452265739,0.0013096183538436,10,331.45345425605774,1024,0.0001,0.1,12493,0,0
