,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.931673615018972,0.1715611964464187,0.7884246706962585,6.882748242954965,0.2809865772724151,1.0146737098693848,6.885855667877197,0.3260000050067901,1.1699999570846558,2.3340771902777512e+31,254.6731106505102,1.3998903096720764e-06,1.1663309160142226e-13,2.5243829829003783e-27,1.1879950761795044e-05,0.0008746460080146,0.0008746460080146,0.0008746460080146,1.288349151611328,1,101.50438809394836,1024,0.0001,0.02,12491,0,0
1,1,6.687091669698021,0.6685841083526611,2.7348873615264893,6.59355312580248,0.8351545333862305,3.4889166355133057,6.548474246520996,0.8219999670982361,3.547999858856201,4.849862822120753e+30,73.36650988520408,1.4060081337758535e-06,1.175377647655781e-13,2.5615507003638506e-27,1.1242926120758057e-05,0.0002162903547286,0.0002162903547286,0.0002162903547286,0.2593092918395996,2,46.09912538528442,1024,0.0001,0.04,12492,0,0
2,2,6.292038088694676,1.5377434492111206,5.447068214416504,6.320353913969671,1.303465485572815,5.276303291320801,6.241880262908936,1.7359999418258667,5.980000019073486,8.24315137047882e+29,16.861617107780614,1.4008570885090634e-06,1.1761211424069722e-13,2.5905755940016363e-27,0.0006518587470054,0.0006518587470054,0.0006518587470054,0.0006518587470054,0.0103160366415977,3,58.08769154548645,1024,0.0001,0.06,12492,0,0
3,3,5.991559803191126,2.6226158142089844,8.643656730651855,6.311089798096304,1.9747111797332764,6.98563814163208,6.22224154510498,2.3480000495910645,7.671999931335449,1.914732980880238e+29,6.066720145089286,1.3968311443046274e-06,1.174321067792165e-13,2.593035944245596e-27,0.0002368316054344,0.0002439655363559,0.0002439655363559,0.0002439655363559,0.1182295382022857,4,134.69113445281982,1024,0.0001,0.08,12492,0,0
4,4,5.739719119751919,3.761731624603272,11.95504093170166,6.391152422241297,2.325944423675537,7.133936882019043,6.234999144134521,2.5119998455047607,8.149999618530273,6.130905317005229e+28,2.796672587492028,1.3962219203814117e-06,1.177262420032582e-13,2.6066047279099917e-27,0.0009666010737419,0.0025361366569995,0.0025361366569995,0.0025361366569995,0.0025361441075801,5,70.76442956924438,1024,0.0001,0.1,12492,0,0
5,5,5.516656215285447,5.241446971893311,15.229841232299805,5.847466541609465,3.317202568054199,11.36434555053711,5.685948563079834,4.223999977111816,13.127999305725098,2.637530461172575e+28,1.2769393142388792,1.389716396812154e-06,1.1749731636614138e-13,2.621852585746653e-27,0.0004179663956165,0.0004179663956165,0.0004179663956165,0.0004179663956165,0.0004180110991001,6,77.73222851753235,1024,0.0001,0.1,12493,0,0
6,6,5.290550805591456,6.790543556213379,18.80109024047852,5.660638574879504,4.909459590911865,14.743989944458008,5.4593592947387695,6.207999706268311,17.11400032043457,1.6503378109804724e+28,0.7957870327696508,1.381596999806386e-06,1.17362964403862e-13,2.6374519930236525e-27,0.000730462372303,0.0008076317608356,0.0008076317608356,0.0008076317608356,0.0008076317608356,7,106.43386197090148,1024,0.0001,0.1,12493,0,0
7,7,5.120158683737588,8.281612396240234,21.857654571533203,5.416912267924919,6.197314739227295,17.304088592529297,5.19364238571167,7.669999599456787,20.35400009155273,1.0007400570989967e+28,0.39730737647231745,1.3734613906047404e-06,1.1633499063262315e-13,2.5992954084696513e-27,0.0003336109220981,0.0007241554558277,0.0007241554558277,0.0007241554558277,0.0007241554558277,8,103.00311779975893,1024,0.0001,0.1,12493,0,0
8,8,4.932646474848844,9.932888984680176,24.99747657775879,5.591107520765339,6.259756088256836,17.413362503051758,5.399127525634766,7.485999584197998,19.83799934387207,8.103736722698246e+27,0.35802642666563694,1.3705609274360003e-06,1.164328819111081e-13,2.6079344012750755e-27,6.742402911186218e-05,6.742402911186218e-05,6.742402911186218e-05,6.742402911186218e-05,6.742402911186218e-05,9,61.3972852230072,1024,0.0001,0.1,12493,0,0
9,9,4.7818628973407,11.481986045837402,27.763900756835938,5.418558128171141,7.11052131652832,18.96659278869629,5.195597212982178,8.093999862670898,21.887998580932617,6.394523397888406e+27,0.298889938665896,1.3693925094127846e-06,1.169022349436825e-13,2.640876583716574e-27,0.0001352690160274,0.0001352690160274,0.0001352690160274,0.0001352690160274,0.0001352690160274,10,126.69102025032043,1024,0.0001,0.1,12493,0,0
10,10,4.635027034839211,13.070188522338867,30.3701171875,5.294380271058882,8.468623161315918,21.12862968444824,5.065981378173828,9.88599967956543,25.101999282836918,4.917708353025169e+27,0.24986300176503706,1.3592218896551505e-06,1.1614675507467905e-13,2.6217071398098853e-27,0.0003096833825111,0.0003096833825111,0.0003096833825111,0.0003096833825111,0.0003096833825111,11,61.54765319824219,1024,0.0001,0.1,12493,0,0
11,11,4.5142809922910025,14.343021392822266,32.697547912597656,5.132873470992399,8.85107707977295,22.463314056396484,4.8790880271911625,10.15399932861328,26.18199920654297,3.959539013059297e+27,0.19871884949353272,1.354226000169221e-06,1.1618528102167128e-13,2.6335386709273032e-27,0.000279027968645,0.0002821162343025,0.0002821162343025,0.0002821162343025,0.000885721296072,12,112.25051975250244,1024,0.0001,0.1,12493,0,0
12,12,4.379087629971729,15.913562774658203,35.090572357177734,4.976858635526354,10.349672317504885,25.452699661254883,4.680472868347168,12.486000061035156,29.95599937438965,3.307330616926929e+27,0.21340072398283044,1.3516057040104912e-06,1.1606753904851421e-13,2.6364201532699884e-27,0.0006764680147171,0.0006769821047782,0.0006769821047782,0.0006769821047782,0.0006770007312297,13,75.49029660224915,1024,0.0001,0.1,12493,0,0
13,13,4.267281974814039,17.220455169677734,37.08623504638672,5.027028787072807,10.65407371520996,26.030282974243164,4.742542473144531,12.684000015258787,29.93400001525879,2.599488611555684e+27,0.17515223366873606,1.343858174247668e-06,1.1551365303558505e-13,2.6183265134569406e-27,0.0019786804914474,0.0020264685153961,0.0020264685153961,0.0020264685153961,0.0020281225442886,14,135.46237063407898,1024,0.0001,0.1,12493,0,0
