,Unnamed: 0.1,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
10,10,10,2.481635050679446,45.53799819946289,70.02056884765625,2.3089831021931824,47.77359390258789,72.74223327636719,2.437084579849244,45.157997131347656,71.33799743652344,6.003285369811432e+27,0.9365457807268416,1.4564361690533586e-06,1.394145265763586e-13,3.555164782653921e-27,-0.9969,-0.8704,-0.8013,-0.7184,0.3269,11,378.1748757362366,1024.0,0.0001,0.1,12493.0,,0
11,11,11,2.437769935400788,46.33568954467773,70.7234878540039,2.1386497118286893,49.83536911010742,75.9877700805664,2.249602294006348,48.5359992980957,74.06600189208984,6.754505853102697e+27,0.9890993857870296,1.414616683129118e-06,1.4267067765823645e-13,3.740507200991547e-27,-0.8667,-0.7596,-0.6985,-0.6233,0.2063,12,399.58371663093567,1024.0,0.0001,0.1,12493.0,,0
12,12,12,2.3969814445929454,47.08008575439453,71.35154724121094,2.270536675278241,48.03229522705078,73.97303009033203,2.39077310913086,46.0359992980957,71.9020004272461,7.944328519702498e+27,1.1499095838897082,1.295460716503841e-06,1.3259734542575598e-13,3.7069746402703615e-27,-1.2307,-1.0375,-0.9301,-0.8015,0.1147,13,380.5389132499695,1024.0,0.0001,0.1,12493.0,,0
13,13,13,2.3628793923632734,47.665225982666016,71.9262466430664,2.077711289412701,51.75603485107422,76.94418334960938,2.1707992059326173,49.94400024414063,75.5,9.346475866921842e+27,1.3886162894112724,1.508564205057975e-06,1.520557938863937e-13,4.000028038756203e-27,-1.5659,-1.3534,-1.2316,-1.0747,0.3373,14,375.76271295547485,1024.0,0.0001,0.1,12493.0,,0
14,14,14,2.335712470453845,48.25470352172852,72.34986877441406,2.072715000584418,52.30479431152344,76.85794830322266,2.183158726501465,49.88800048828125,75.25,1.009258261760797e+28,1.4524631110989317,1.5922192624445544e-06,1.5319579720066805e-13,3.860621083397404e-27,-1.6757,-1.4879,-1.3688,-1.2338,0.0891,15,382.7838909626007,1024.0,0.0001,0.1,12493.0,,0
15,15,15,2.3106560359713564,48.68737411499024,72.7445068359375,2.0781622557252803,51.86578750610352,77.01473236083984,2.17926566230774,49.823997497558594,75.41799926757812,1.1440546712394489e+28,1.5776971310985333,1.8231575596997145e-06,1.7819349028108637e-13,4.474701761834275e-27,-1.9783,-1.7503,-1.6219,-1.4626,0.3518,16,375.7332618236542,1024.0,0.0001,0.1,12493.0,,0
16,16,16,2.2859114285272644,49.09489059448242,73.1666030883789,2.0735451307891863,51.86578750610352,77.06961059570312,2.179523167190552,49.70399856567383,75.42599487304688,1.2880684317376898e+28,1.8567565606564889,1.6574426996693625e-06,1.6301080675179146e-13,4.119916479960073e-27,-1.3103,-1.1212,-1.0055,-0.8835,0.121,17,379.5740692615509,1024.0,0.0001,0.1,12493.0,,0
17,17,17,2.2692857123061216,49.49885940551758,73.46125030517578,2.0630450728695457,52.398868560791016,76.85010528564453,2.154804791793824,50.47599792480469,75.60800170898438,1.3794974608575566e+28,1.8656049455915176,1.7359698901629457e-06,1.7156455567387025e-13,4.873401138725217e-27,-1.4482,-1.3129,-1.2226,-1.1115,0.3855,18,375.2875969409943,1024.0,0.0001,0.1,12493.0,,0
18,18,18,2.249997122981678,49.802467346191406,73.75718688964844,1.9971527857031333,53.11225891113281,77.96331024169922,2.089231404953003,51.619998931884766,76.55799865722656,1.4762469441753485e+28,2.160750097158004,1.756498456535271e-06,1.6849526696961882e-13,4.242641447489815e-27,-1.2953,-1.1386,-1.0437,-0.942,0.3168,19,372.7085444927216,1024.0,0.0001,0.1,12493.0,,0
19,19,19,2.2329088472747443,50.143211364746094,74.02225494384766,2.025038250563996,52.74380493164063,77.57917785644531,2.135385829849243,50.35599899291992,76.01599884033203,1.7063688073588829e+28,2.522202627999442,1.7919193180568225e-06,1.6029899533327431e-13,4.5902843421920065e-27,-1.4571,-1.2485,-1.1336,-1.0003,0.2356,20,378.3713946342468,1024.0,0.0001,0.1,12493.0,,0
20,20,20,2.220082182507084,50.38138198852539,74.21268463134766,1.9409278063013025,54.5076789855957,79.22545623779297,2.0536937564849853,52.365997314453125,77.39599609375,1.8058107479268828e+28,2.54943069146604,1.8642407839471045e-06,1.7543452934318221e-13,4.5786916399139365e-27,-1.9044,-1.6587,-1.5018,-1.3326,0.3146,21,374.9635977745056,1024.0,0.0001,0.1,12493.0,,0
21,21,21,2.2059940848794963,50.62554550170898,74.43951416015625,1.9758015364529984,54.1549072265625,78.36312103271484,2.077696928482056,51.7339973449707,76.93799591064453,1.9035470877804324e+28,2.6124220867546235,1.5224904813168976e-06,1.576753640620358e-13,4.595755092768057e-27,-1.1788,-1.0319,-0.9413,-0.8309,0.1928,22,372.8907039165497,1024.0,0.0001,0.1,12493.0,,0
22,22,22,2.195170831370379,50.87743377685547,74.59500122070312,1.9981438717374087,53.85700607299805,77.99466705322266,2.1113090032958985,51.205997467041016,76.35399627685547,1.880781149262328e+28,2.66806123694595,2.0930118399236483e-06,1.84968860837377e-13,4.683779304257225e-27,-1.9026,-1.6807,-1.5519,-1.3978,0.205,23,375.2370879650116,1024.0,0.0001,0.1,12493.0,,0
23,23,23,2.182875851249128,51.09645080566406,74.81710815429688,1.8968758476531853,55.4013786315918,79.49200439453125,1.9961781240081784,53.33799743652344,78.46399688720703,2.042562341415718e+28,2.9127838757573343,2.0530817081080577e-06,1.892461966870033e-13,4.917726779631214e-27,-1.2428,-1.0925,-1.0057,-0.8867,0.1694,24,374.901374578476,1024.0,0.0001,0.1,12493.0,,0
24,24,24,2.1705580803798323,51.31877517700195,75.00714111328125,1.8991033727003512,55.36217880249024,79.66446685791016,2.0126624752807616,52.89599990844727,77.98199462890625,2.1754440674038903e+28,3.2347209696867028,1.6652291133707368e-06,1.4940882953519756e-13,3.819480708506564e-27,-1.0532,-0.9169,-0.8366,-0.7366,0.1351,25,376.0529248714447,1024.0,0.0001,0.1,12493.0,,0
25,25,25,2.1635978499076,51.397457122802734,75.10768127441406,1.9417755921158384,54.476322174072266,78.44151306152344,2.0329621843719483,52.46199798583984,77.50799560546875,2.2260444603861627e+28,3.191186087472098,1.9691290049377863e-06,1.8007442873843949e-13,4.644260982120261e-27,-0.8876,-0.7857,-0.7262,-0.6528,0.1759,26,374.0692286491394,1024.0,0.0001,0.1,12493.0,,0
26,26,26,2.154512818754552,51.63909912109375,75.19695281982422,1.9244067064831345,54.67230987548828,78.96675872802734,2.029313503036499,52.567996978759766,77.76799774169922,2.341980918723854e+28,3.4892550098652744,1.939031063290884e-06,1.8997127983649498e-13,5.023847110125538e-27,-1.0632,-0.9177,-0.8373,-0.7447,0.2234,27,376.6787075996399,1024.0,0.0001,0.1,12493.0,,0
27,27,27,2.14777761945288,51.7536506652832,75.31977081298828,2.042020117911324,52.14800643920898,77.29695892333984,2.1300121935272216,50.9839973449707,76.22599792480469,2.429728863170324e+28,3.535441495934311,1.9396285080405323e-06,1.7838818527924457e-13,4.542829630291877e-27,-0.7618,-0.6591,-0.5991,-0.5209,0.1701,28,373.6753168106079,1024.0,0.0001,0.1,12493.0,,0
28,28,28,2.140514021163081,51.894927978515625,75.43616485595703,1.92021006508358,55.17403411865234,79.22545623779297,2.0254378077697752,52.71199798583984,77.94400024414062,2.5696478596912685e+28,3.8798924660196095,2.1023766628830503e-06,1.9137014411881106e-13,4.921488540450275e-27,-1.1558,-1.0222,-0.9404,-0.8443,0.2385,29,376.3294951915741,1024.0,0.0001,0.1,12493.0,,0
29,29,29,2.1332165556002187,52.052764892578125,75.5243911743164,1.77958023062168,57.78456878662109,81.66352844238281,1.8910532755661007,55.567996978759766,79.82999420166016,2.5963792874042004e+28,3.8624575867944833,1.7899784142315922e-06,1.8017680207748121e-13,4.7094762956941415e-27,-1.308,-1.1495,-1.0601,-0.9384,0.2866,30,373.6961817741394,1024.0,0.0001,0.01,12493.0,,0
30,30,30,1.995779434694148,55.2885627746582,77.5652084350586,1.491827527457698,64.04828643798828,85.25399780273438,1.5890517290878297,61.9839973449707,84.07999420166016,2.0993942806644133e+27,0.0456881717759735,1.1191765180234878e-06,1.177159376581544e-13,3.237679111263123e-27,-0.0931,-0.0821,-0.0773,-0.0719,0.0179,31,380.60182881355286,1024.0,0.0001,0.01,12493.0,,0
31,31,31,1.7734838736852276,59.563777923583984,80.86631774902344,1.4244155875565154,65.31827545166016,86.10065460205078,1.525430495262146,63.17399978637695,85.0219955444336,4.578553895183575e+27,0.1666339173608896,1.112859714546868e-06,1.1725354939615125e-13,3.22606194762296e-27,-0.0751,-0.0658,-0.0616,-0.055,0.0094,32,375.0532958507538,1024.0,0.0001,0.01,12493.0,,0
32,32,32,1.7173652068862582,60.65203857421875,81.6838607788086,1.4017480703011769,65.8748779296875,86.53182220458984,1.5030486908340457,63.64799880981445,85.33399963378906,6.806431814356711e+27,0.2941715668658821,1.1110022781988516e-06,1.1692010825869713e-13,3.2317472309557375e-27,-0.0761,-0.0671,-0.062,-0.0559,0.0119,33,375.1989238262177,1024.0,0.0001,0.01,12493.0,,0
33,33,33,1.6847486125926097,61.28956604003906,82.16471862792969,1.384313430633617,66.14141845703125,86.84540557861328,1.4871075707626342,63.95800018310547,85.5,8.946613026759717e+27,0.4342304151885363,1.1134557660609335e-06,1.160185329893377e-13,3.1980728604462056e-27,-0.0712,-0.0611,-0.0555,-0.0488,0.0008,34,376.0691571235657,1024.0,0.0001,0.01,12493.0,,0
34,34,34,1.6676557275295794,61.6827507019043,82.38788604736328,1.3795832911790744,66.32173156738281,86.97867584228516,1.4811064544296264,64.0260009765625,85.58999633789062,1.0471991707941166e+28,0.5181308668486926,1.122919888720086e-06,1.1532964687301941e-13,3.1608889455943196e-27,-0.0777,-0.0677,-0.0613,-0.0547,0.0066,35,374.70046281814575,1024.0,0.0001,0.01,12493.0,,0
35,35,35,1.6531821324253604,61.95048141479492,82.60089111328125,1.3667101626786442,66.64314270019531,86.9394760131836,1.4653378838729858,64.59400177001953,85.81599426269531,1.2069683987074797e+28,0.6050253887565769,1.1355010593522826e-06,1.1465272390362832e-13,3.1507788001944115e-27,-0.0917,-0.0787,-0.0722,-0.0637,0.0157,36,374.0164482593536,1024.0,0.0001,0.01,12493.0,,0
36,36,36,1.6436246135405692,62.10730743408203,82.7377700805664,1.3718018202469169,66.407958984375,86.80620574951172,1.4741192015457154,64.26399993896484,85.6719970703125,1.344132130503994e+28,0.6847157381018814,1.1912119906458652e-06,1.1454669241222033e-13,3.1140692374317474e-27,-0.111,-0.0959,-0.0865,-0.0769,0.0087,37,374.1712577342987,1024.0,0.0001,0.01,12493.0,,0
37,37,37,1.6331146253254427,62.32025146484375,82.90702056884766,1.3500438350687658,66.94888305664062,87.06491088867188,1.452994507598877,64.72200012207031,85.97599792480469,1.4729051615337458e+28,0.7609097227758291,1.2087311681583966e-06,1.149633153205967e-13,3.121413265561545e-27,-0.0905,-0.0753,-0.0674,-0.0591,0.0017,38,375.124669790268,1024.0,0.0001,0.01,12493.0,,0
38,38,38,1.6248790999327851,62.42970657348633,83.00203704833984,1.3661722092465496,66.7685775756836,87.07274627685547,1.4727741695022585,64.33200073242188,85.69400024414062,1.6083946963529208e+28,0.8096483970174984,1.264491875959634e-06,1.1530492962730162e-13,3.0924123374474316e-27,-0.1111,-0.0935,-0.0842,-0.0738,0.0075,39,373.883709192276,1024.0,0.0001,0.01,12493.0,,0
39,39,39,1.6165537133094368,62.61607360839844,83.12333679199219,1.3568427716724998,66.91752624511719,87.3157730102539,1.4592361082839966,64.71599578857422,85.87199401855469,1.7509189044033029e+28,0.9309788139498965,1.2721898825303631e-06,1.1771145559759766e-13,3.088147796469686e-27,-0.128,-0.1114,-0.1019,-0.0911,0.0128,40,374.4025661945343,1024.0,0.0001,0.01,12493.0,,0
40,40,40,1.61283517222744,62.73210906982422,83.15902709960938,1.3612190262207458,66.44715881347656,87.06491088867188,1.4585532889938355,64.43399810791016,85.9219970703125,1.8644274760729883e+28,1.0282156808035714,1.352613139994953e-06,1.2085473125736432e-13,3.146343360240972e-27,-0.1061,-0.0898,-0.0805,-0.0692,0.0021,41,375.45651483535767,1024.0,0.0001,0.01,12493.0,,0
41,41,41,1.6028605502027908,62.9310188293457,83.30460357666016,1.3607523014419092,66.54122924804688,87.15898132324219,1.4663124575424191,64.47000122070312,85.96599578857422,2.051412764559588e+28,1.1412008635851802,1.4539688754932256e-06,1.2555148031777232e-13,3.1119784520907517e-27,-0.1343,-0.1151,-0.1049,-0.0914,0.0055,42,377.66998267173767,1024.0,0.0001,0.01,12493.0,,0
42,42,42,1.6000825464924031,62.9726791381836,83.33517456054688,1.3542303116428474,66.65882110595703,87.19818115234375,1.4543584243011474,64.68999481201172,85.92599487304688,2.174267253676359e+28,1.161310468401228,1.572398206432954e-06,1.34321873152207e-13,3.448072278295904e-27,-0.1628,-0.1392,-0.1265,-0.1123,0.0148,43,374.08628606796265,1024.0,0.0001,0.01,12493.0,,0
43,43,43,1.5973602767298405,63.003944396972656,83.38418579101562,1.3521033267909062,67.12918853759766,87.27657318115234,1.4550541312789915,64.60399627685547,85.89599609375,2.292483198315332e+28,1.2882217874332351,1.719123645437118e-06,1.4069123273761608e-13,3.644145631736266e-27,-0.1831,-0.1543,-0.1405,-0.1232,0.0235,44,376.8029112815857,1024.0,0.0001,0.01,12493.0,,0
44,44,44,1.588772728155856,63.17198944091797,83.50585174560547,1.341689131932036,66.65882110595703,87.55879211425781,1.4471633051681518,64.93799591064453,86.14599609375,2.483834196556182e+28,1.4227575185347576,1.7700540054712717e-06,1.4965115741221477e-13,3.81953855632232e-27,-0.1805,-0.153,-0.1396,-0.1244,0.0055,45,376.2306969165802,1024.0,0.0001,0.01,12493.0,,0
45,45,45,1.584559893424375,63.2111930847168,83.59656524658203,1.3480667417495742,67.25462341308594,87.19033813476562,1.456366001586914,64.7979965209961,85.97200012207031,2.6042014152464257e+28,1.490485210807956,1.9119370642192223e-06,1.6300812630381131e-13,4.0205137683906176e-27,-0.1823,-0.1523,-0.1351,-0.117,0.0162,46,373.0877823829651,1024.0,0.0001,0.01,12493.0,,0
46,46,46,1.582531576032705,63.21803283691406,83.61009979248047,1.363461869343877,66.35308837890625,87.22169494628906,1.463657822036743,64.47799682617188,85.85799407958984,2.8148395026766124e+28,1.6712238545320472,2.0512178122132462e-06,1.7135573339660392e-13,4.23205000826279e-27,-0.2135,-0.1855,-0.1693,-0.1482,0.0136,47,376.4863214492798,1024.0,0.0001,0.01,12493.0,,0
47,47,47,1.5771132944897697,63.40718078613281,83.68972778320312,1.363202287807626,66.58042907714844,86.89244079589844,1.4581688033676148,64.70800018310547,85.85399627685547,2.927351773077575e+28,1.758563606106505,2.055567620361894e-06,1.8040293741219266e-13,4.3858161137287205e-27,-0.2081,-0.1774,-0.1618,-0.1421,0.0181,48,376.0348463058472,1024.0,0.0001,0.01,12493.0,,0
48,48,48,1.5769495578995598,63.36764144897461,83.70291137695312,1.3587811799885223,66.63530731201172,87.21385955810547,1.4568572876739505,64.6500015258789,85.81599426269531,3.053313107103426e+28,1.912143629424426,2.150070030026221e-06,1.8608522347930265e-13,4.546634694333019e-27,-0.1857,-0.1551,-0.1414,-0.1245,0.0024,49,373.2365012168884,1024.0,0.0001,0.01,12493.0,,0
49,49,49,1.571902627949593,63.51432800292969,83.75428771972656,1.3598857638080055,66.73722076416016,87.1041030883789,1.4564032033157348,64.76200103759766,86.00799560546875,3.2040961438365363e+28,2.012103489467076,2.2947732509102057e-06,1.9243452364663152e-13,4.6871281969512426e-27,-0.2472,-0.2109,-0.1951,-0.172,0.009,50,375.14458107948303,1024.0,0.0001,0.01,12493.0,,0
50,50,50,1.570594037363262,63.52837371826172,83.72103881835938,1.38188455444251,66.20413970947266,86.87676239013672,1.4778981788253784,64.27400207519531,85.72000122070312,3.309708564569378e+28,2.151416545011559,2.572146950234653e-06,2.008353332376512e-13,4.850725786624594e-27,-0.2914,-0.2448,-0.2199,-0.1901,0.0283,51,373.3921728134155,1024.0,0.0001,0.01,12493.0,,0
51,51,51,1.5685301258718332,63.60190582275391,83.7879409790039,1.3483947011960191,66.65098571777344,87.4020004272461,1.450920728225708,64.63399505615234,86.00799560546875,3.516763320312363e+28,2.3088694981166293,2.493160625287503e-06,2.0779694000134357e-13,5.024569711984104e-27,-0.2118,-0.1792,-0.164,-0.1481,0.0259,52,373.7340087890625,1024.0,0.0001,0.01,12493.0,,0
52,52,52,1.5655310457893363,63.6093864440918,83.83842468261719,1.3505640010468898,67.01943969726562,87.23737335205078,1.449711648826599,64.75199890136719,86.12799835205078,3.726148563914645e+28,2.433441784917092,2.6314650951110183e-06,2.132804774419976e-13,5.1819260181754986e-27,-0.2612,-0.2184,-0.195,-0.1672,0.0037,53,374.3465247154236,1024.0,0.0001,0.01,12493.0,,0
53,53,53,1.563346215073351,63.643856048583984,83.89596557617188,1.3661574260236775,66.42363739013672,86.72781372070312,1.465763197364807,64.33599853515625,85.8699951171875,3.797399865526506e+28,2.600183292311065,2.7207598434807628e-06,2.2042108100645686e-13,5.3218222007761406e-27,-0.3105,-0.2656,-0.2475,-0.2184,0.0415,54,373.480110168457,1024.0,0.0001,0.01,12493.0,,0
54,54,54,1.5591825436148472,63.76509094238281,83.949951171875,1.369660825705446,66.87832641601562,87.07274627685547,1.4727507265472413,64.43999481201172,85.53799438476562,3.952853794947823e+28,2.743984300263074,2.885140110480153e-06,2.2917586352704033e-13,5.4666420588952285e-27,-0.2657,-0.219,-0.1961,-0.1769,0.003,55,375.9232196807861,1024.0,0.0001,0.01,12493.0,,0
55,55,55,1.5589844522643366,63.7536506652832,83.91136169433594,1.3410912589168578,66.90968322753906,87.50391387939453,1.4464660176849364,64.83200073242188,86.06199645996094,4.099598736101431e+28,2.839680574378189,3.0235322274876327e-06,2.359891887873111e-13,5.6048358629178286e-27,-0.3393,-0.2919,-0.2652,-0.2262,0.0035,56,373.209677696228,1024.0,0.0001,0.01,12493.0,,0
56,56,56,1.5568537646829614,63.824798583984375,83.9475326538086,1.3591649551008815,66.65882110595703,86.97867584228516,1.463299976463318,64.56199645996094,85.9219970703125,4.314269960626313e+28,3.0542207056162307,3.0985387116623747e-06,2.441315768279908e-13,5.7719400219030106e-27,-0.3477,-0.3005,-0.2716,-0.2406,0.0277,57,375.5823519229889,1024.0,0.0001,0.01,12493.0,,0
57,57,57,1.5554272172674344,63.78133010864258,83.98020935058594,1.344476304146966,67.11351013183594,87.51959228515625,1.4451967628860474,64.54000091552734,86.16999816894531,4.4631000627004325e+28,3.2027731136399877,3.1787627364385605e-06,2.484254347831989e-13,5.8584664708024436e-27,-0.3529,-0.3087,-0.2831,-0.252,0.021,58,374.8368215560913,1024.0,0.0001,0.01,12493.0,,0
58,58,58,1.555049984155101,63.87631607055664,83.97696685791016,1.3500733378166014,66.94888305664062,87.22953796386719,1.4605789867019654,64.65799713134766,85.89599609375,4.636117181426514e+28,3.331663482043208,3.325152025693823e-06,2.5655316824352864e-13,6.007766063773901e-27,-0.2962,-0.2406,-0.2147,-0.1879,0.0205,59,372.9906191825866,1024.0,0.0001,0.01,12493.0,,0
59,59,59,1.551187705971604,63.93540191650391,84.04850006103516,1.3629869488422757,66.82345581054688,87.08842468261719,1.4660389622879029,64.29999542236328,85.70999908447266,4.841568457630241e+28,3.4719882887236926,3.437488864085834e-06,2.623727503715192e-13,6.135371734158949e-27,-0.3905,-0.3411,-0.3118,-0.2837,0.0301,60,376.4437913894653,1024.0,0.0001,0.001,12493.0,,0
60,60,60,1.471545190858679,65.74557495117188,85.10667419433594,1.249557465810169,69.15960693359375,88.46817016601562,1.3513664545059203,66.89399719238281,87.28199768066406,3.154288163950089e+28,1.6978122944734535,3.431900469503688e-06,2.6093020796965906e-13,6.1184061267531966e-27,-0.3531,-0.2963,-0.2701,-0.243,0.0034,61,376.1922180652618,1024.0,0.0001,0.001,12493.0,,0
61,61,61,1.440437638957288,66.39308166503906,85.57164001464844,1.2391522057417532,69.37911224365234,88.78174591064453,1.3426041714096069,67.03399658203125,87.50799560546875,3.6665855915845338e+28,2.1034517872090244,3.482236044601579e-06,2.624856148081878e-13,6.152066283228e-27,-0.36,-0.307,-0.2812,-0.249,0.035,62,373.6242477893829,1024.0,0.0001,0.001,12493.0,,0
62,62,62,1.4266932098887677,66.68315124511719,85.74880981445312,1.2407302482631295,69.4261474609375,88.64847564697266,1.3409289945602416,66.98999786376953,87.5260009765625,4.029825299080384e+28,2.4040253308354598,3.5302611284713407e-06,2.6414142859154334e-13,6.1827441368812245e-27,-0.4796,-0.414,-0.382,-0.348,0.038,63,371.4178040027618,1024.0,0.0001,0.001,12493.0,,0
63,63,63,1.4239448588893318,66.743896484375,85.78799438476562,1.2387011989451158,69.4261474609375,88.64063262939453,1.3411414008712768,67.10599517822266,87.5260009765625,4.303431657311479e+28,2.5978197370256693,3.5510621357290787e-06,2.65001566771637e-13,6.2060280480036286e-27,-0.41,-0.3472,-0.3166,-0.2787,0.007,64,374.17777013778687,1024.0,0.0001,0.001,12493.0,,0
64,64,64,1.4168469705225517,66.88927459716797,85.88375854492188,1.2369076493168445,69.76324462890625,88.63279724121094,1.3343214516448976,67.18999481201172,87.55999755859375,4.511402316033816e+28,2.757476806640625,3.575553950704593e-06,2.666331466687467e-13,6.2367343297263154e-27,-0.3908,-0.3269,-0.2974,-0.2569,0.0278,65,373.2420444488525,1024.0,0.0001,0.001,12493.0,,0
65,65,65,1.4166763259267017,66.91081237792969,85.86351776123047,1.2318130506546603,69.65349578857422,88.64063262939453,1.33517433177948,67.29999542236328,87.56399536132812,4.682416206897865e+28,2.920977534080038,3.5586917470984487e-06,2.675022929117243e-13,6.25778895130885e-27,-0.4437,-0.3777,-0.3467,-0.3213,0.0373,66,372.7902228832245,1024.0,0.0001,0.001,12493.0,,0
66,66,66,1.4146598015122884,66.9484634399414,85.90154266357422,1.2312175156218612,69.62213897705078,88.76606750488281,1.3343306399917605,67.20199584960938,87.55199432373047,4.771438481939737e+28,2.936027682557398,3.6094176814752064e-06,2.6980712664041613e-13,6.288874053585016e-27,-0.4622,-0.3921,-0.3598,-0.3166,0.0555,67,375.6799347400665,1024.0,0.0001,0.001,12493.0,,0
67,67,67,1.411681562964868,67.00750732421875,85.90721893310547,1.2308034045676073,69.68485260009766,88.6798324584961,1.332538896217346,67.34600067138672,87.52999877929688,4.899762179798643e+28,3.0552224918287627,3.644146991516352e-06,2.7082609234877097e-13,6.320073529256911e-27,-0.4376,-0.3709,-0.3403,-0.3009,0.0426,68,375.9339983463288,1024.0,0.0001,0.001,12493.0,,0
68,68,68,1.409190692310878,67.04532623291016,85.99457550048828,1.2297500887048696,69.81812286376953,88.81310272216797,1.3306398027038575,67.30400085449219,87.63199615478516,5.054643994520561e+28,3.1526825573979598,3.654648441396115e-06,2.722405339886106e-13,6.335317585665682e-27,-0.4517,-0.3926,-0.3611,-0.3236,0.1059,69,373.0077650547028,1024.0,0.0001,0.001,12493.0,,0
69,69,69,1.4080734978101026,67.05830383300781,85.96123504638672,1.2304387186043837,69.66133117675781,88.78174591064453,1.3301496460342408,67.29199981689453,87.61799621582031,5.095554327598309e+28,3.1692181022799746,3.665441204170555e-06,2.736506253932037e-13,6.362860418263727e-27,-0.4105,-0.3407,-0.3115,-0.2723,0.0193,70,373.3909637928009,1024.0,0.0001,0.001,12493.0,,0
