,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.942648437408376,0.1778686046600341,0.7644565105438232,6.961311320234305,0.3434280157089233,1.0849204063415527,6.995904657440185,0.2960000038146972,1.0,2.246664358179532e+31,255.47795758928572,1.404765747608946e-06,1.1712258095017465e-13,2.54190227654268e-27,9.516626596450806e-05,0.0009310580790042,0.000934612005949,0.0014828369021415,2.816730499267578,1,42.08981108665466,1024,0.0001,0.02,12491,1,0
1,1,6.7075886110422624,0.6925522089004517,2.5116055011749268,6.667193181284732,0.8273493051528931,2.9815797805786133,6.652876613769531,0.887999951839447,3.1059999465942383,5.044488998746332e+30,77.63642478475765,1.4093282141707085e-06,1.1770697353704075e-13,2.5636454524122145e-27,1.6577541828155518e-05,0.0001233294606208,0.0001768469810485,0.0083844512701034,2.049635410308838,2,30.721386432647705,1024,0.0001,0.04,12492,1,0
2,2,6.33468607896656,1.4380865097045898,5.03834867477417,6.738414868168112,0.9600374102592468,3.965032577514648,6.729003659362793,1.0640000104904177,3.98799991607666,9.894235763988402e+29,20.75233303770727,1.4111480331579776e-06,1.1823532938150415e-13,2.5890907232108472e-27,2.0328909158706665e-05,0.0016119591891765,0.0016119591891765,0.0102013051509857,3.3148255348205566,3,30.774925231933597,1024,0.0001,0.06,12492,1,0
3,3,6.0355653252728185,2.4144716262817383,8.065899848937988,6.094264544958328,2.1620354652404785,7.508585453033447,6.005203707580566,2.549999952316284,8.460000038146973,2.123508047509268e+29,6.851789202008929,1.4111069960371622e-06,1.1844678816498044e-13,2.5985637162400387e-27,5.561113357543945e-05,0.0015667863190174,0.0015667863190174,0.0015667863190174,0.3005623817443847,4,30.411211490631104,1024,0.0001,0.08,12493,1,0
4,4,5.778980070003071,3.716318368911743,11.446664810180664,6.4567578059972695,2.4430220127105717,7.703714847564697,6.287822940673828,2.809999942779541,9.064000129699709,7.2317423069034e+28,3.4884335264867667,1.4040052942960587e-06,1.1830992053635912e-13,2.6112535436638436e-27,0.0009595528244972,0.0013856403529644,0.0013856403529644,0.0013856403529644,0.0875508785247802,5,31.309821367263797,1024,0.0001,0.1,12493,1,0
5,5,5.543236049733329,5.102684497833252,14.867796897888184,5.802143501111429,4.12113618850708,12.40243434906006,5.631850435638428,4.8480000495910645,14.323999404907228,2.9632818984624885e+28,2.1185302734375,1.3988733743540933e-06,1.18223959448474e-13,2.6158448421608866e-27,4.5146793127059937e-05,0.0001245029270648,0.0001245029270648,0.0001245029270648,0.0008779950439929,6,30.817477226257324,1024,0.0001,0.1,12493,1,0
6,6,5.319904316613335,6.5470781326293945,18.37092399597168,5.911108066839908,4.043084621429443,12.347798347473145,5.802822438354492,4.776000022888184,13.809999465942385,1.7536354457225734e+28,1.4183425903320312,1.3901679317989036e-06,1.1760246902214602e-13,2.6071688267533748e-27,0.0002127960324287,0.0003049597144126,0.0003049597144126,0.0003049597144126,0.000355064868927,7,31.297579526901245,1024,0.0001,0.1,12493,1,0
7,7,5.119325443983487,8.154203414916992,21.73655128479004,6.113398010791037,3.824539422988892,11.403371810913086,6.002334239959716,4.349999904632568,12.649999618530272,1.2231547820641637e+28,1.262200958874761,1.3752744967296532e-06,1.1673237803110996e-13,2.602388779097486e-27,0.0009399950504302,0.0009399950504302,0.0009399950504302,0.0009399950504302,0.0009400993585586,8,31.1308913230896,1024,0.0001,0.1,12493,1,0
8,8,4.95691394473869,9.775203704833984,24.32637023925781,5.653451333297554,5.807055473327637,16.2816104888916,5.458839050750733,6.925999641418457,18.577999114990234,9.287244404718828e+27,1.012332293452049,1.3719416238989885e-06,1.166794611543888e-13,2.6101863341028282e-27,0.0027259439229965,0.0027259439229965,0.0027259439229965,0.0027259439229965,0.0027259774506092,9,31.210498571395878,1024,0.0001,0.1,12493,1,0
9,9,4.804543251394082,11.088403701782228,27.225248336791992,5.508785076004395,6.837339878082275,18.06119155883789,5.307547615966797,8.065999984741211,21.083999633789062,6.720516620342243e+27,0.8396089514907527,1.3629021847771625e-06,1.1636109204410114e-13,2.622988716848155e-27,0.0005123689770698,0.0005125440657138,0.0005125440657138,0.0005125440657138,0.0005125440657138,10,31.510862350463867,1024,0.0001,0.1,12493,1,0
