,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.892188559051045,0.3361842632293701,1.1820062398910522,6.7397339419205045,0.733687162399292,2.7005929946899414,6.7257278791809085,0.7919999957084656,2.615999937057495,1.3365659001456892e+31,168.8607102997449,1.4002737027730273e-06,1.17726461712109e-13,2.5726295487585092e-27,7.186084985733032e-06,0.0003775916993618,0.0003775916993618,0.0007648132741451,0.6612317562103271,1,66.81583952903748,1024.0,0.0001,0.02,12491.0,2.0,0
1,1,6.400350055632984,1.4078110456466677,4.938061237335205,6.2382643238440405,1.5142053365707395,5.822666168212891,6.186878203277588,1.825999975204468,6.339999675750732,1.596982242998733e+30,32.32481913663903,1.4142893994248376e-06,1.1986519554957732e-13,2.6569657140738434e-27,0.0005052685737609,0.0011348500847816,0.0011348538100719,0.0011348947882652,0.1991439461708068,2,65.90706062316895,1024.0,0.0001,0.04,12491.0,2.0,0
2,2,5.889096255932341,3.1152234077453613,9.972625732421877,5.776205228560796,3.5747735500335693,11.372150421142578,5.64476961517334,4.440000057220459,13.11199951171875,2.9495421259569144e+29,9.492264105349172,1.4160437363396942e-06,1.2072717928401796e-13,2.7170386873857127e-27,0.0004162862896919,0.0005133561789989,0.0005133561789989,0.0005133561789989,0.1362883746623993,3,62.70044708251953,1024.0,0.0001,0.06,12491.0,2.0,0
3,3,5.549331667108293,4.913462162017822,14.851397514343262,5.879323568412597,3.715266704559326,11.55167007446289,5.6922256239318845,4.650000095367432,13.993999481201172,8.045181267257255e+28,4.167835469148597,1.4075154880191357e-06,1.2051444618920694e-13,2.728490075713857e-27,0.0007890611886978,0.00079757720232,0.00079757720232,0.00079757720232,0.0079784914851188,4,59.40965390205383,1024.0,0.0001,0.08,12491.0,2.0,0
4,4,5.261285517287671,7.100236892700195,19.44255256652832,5.445490646689823,6.642210006713867,17.717763900756836,5.28935510925293,7.1479997634887695,19.45599937438965,2.640715225128622e+28,1.9541728739835782,1.3895636475291188e-06,1.1935770106049976e-13,2.728119684413529e-27,0.0007856823503971,0.0026795566082,0.0026795566082,0.0026795566082,0.0027355775237083,5,59.72196984291077,1024.0,0.0001,0.1,12492.0,2.0,0
5,5,4.975473593529857,9.599858283996582,24.51306915283203,5.438195143421851,6.564158439636231,18.818294525146484,5.203744640960694,8.243999481201172,21.84000015258789,1.1311373460805314e+28,1.239764777981505,1.3742091781395982e-06,1.189135815894427e-13,2.7840927351033572e-27,0.0006324350833892,0.0006328336894512,0.0006328336894512,0.0006328336894512,0.0006337128579616,6,61.07370185852051,1024.0,0.0001,0.1,12492.0,2.0,0
6,6,4.705428818831567,12.283024787902832,29.243616104125977,5.2043639228301535,8.773024559020996,22.11208152770996,5.016396162719727,10.065999984741213,25.10999870300293,6.720366685206412e+27,0.8209616213428731,1.3622005006743322e-06,1.1896140122082468e-13,2.809529576648833e-27,0.0053859837353229,0.0053859837353229,0.0053859837353229,0.0053859837353229,0.0053859837353229,7,58.98294806480408,1024.0,0.0001,0.1,12492.0,2.0,0
7,7,4.483036001222576,14.698127746582031,33.56355285644531,4.7843519223320685,12.269746780395508,28.660629272460938,4.549486139526367,13.80799961090088,32.055999755859375,4.7175833159183086e+27,0.6141170968814772,1.3545339052331164e-06,1.188225891688735e-13,2.799890477748675e-27,0.0078583173453807,0.0078583173453807,0.0078583173453807,0.0078583173453807,0.0078583173453807,8,62.90557384490967,1024.0,0.0001,0.1,12492.0,2.0,0
8,8,4.294036180463686,16.938514709472656,37.079925537109375,5.075993285415845,10.404308319091797,25.320011138916016,4.865827823638916,12.107999801635742,28.58199882507324,3.2101921286701107e+27,0.38443265642438607,1.3453080258586966e-06,1.181321650905994e-13,2.798221816183242e-27,0.0061664395034313,0.0061666034162044,0.0061666034162044,0.0061666034162044,0.0061666443943977,9,82.12450933456421,1024.0,0.0001,0.1,12492.0,2.0,0
9,9,4.13333371843143,19.14736557006836,40.142799377441406,4.611579525816861,14.52544403076172,32.071495056152344,4.394188880157471,15.949999809265137,35.77799987792969,2.4022983776439743e+27,0.25268652001205755,1.3299401307444645e-06,1.169244914502711e-13,2.7515326788048122e-27,0.0090731531381607,0.009073182940483,0.009073182940483,0.009073182940483,0.0090732462704181,10,75.54584050178528,1024.0,0.0001,0.1,12492.0,2.0,0
