,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,6.885407821816192,0.2743717730045318,1.15173077583313,6.73183342028215,0.4839213192462921,2.325944423675537,6.7169391090393065,0.5819999575614929,2.5179998874664307,1.3012696183458926e+31,161.70981146364795,1.4009917257295158e-06,1.1666918976561277e-13,2.524596358700791e-27,5.424022674560547e-05,0.0008865967392921,0.0008865967392921,0.0008865967392921,0.109777808189392,1,75.10739207267761,1024,0.0001,0.02,12491,0,0
1,1,6.37721958842765,1.3857351541519165,5.076193332672119,6.458632653034221,1.264439582824707,5.073368549346924,6.425212121887207,1.5419999361038208,5.279999732971191,1.3764700933763834e+30,27.667101801658163,1.4026396701089257e-06,1.1775748460184543e-13,2.593717887353658e-27,7.055699825286865e-06,0.000103797763586,0.000103797763586,0.000103797763586,0.1357481479644775,2,65.87114191055298,1024,0.0001,0.04,12491,0,0
2,2,5.887160701965369,3.1246845722198486,9.97956371307373,6.34500943948208,2.2947235107421875,7.844208240509033,6.24858245010376,2.8399999141693115,9.14799976348877,2.700645078110787e+29,8.463325967594068,1.4014644125655748e-06,1.178795768102487e-13,2.6023015115354266e-27,0.0003178156912326,0.000318419188261,0.000318419188261,0.000318419188261,0.1958488225936889,3,71.00316429138184,1024,0.0001,0.06,12492,0,0
3,3,5.537422906379188,5.0553789138793945,14.889242172241213,5.7071975144676,4.433343410491943,13.143927574157717,5.54498122253418,5.259999752044678,15.4399995803833,7.4287721869582255e+28,3.6533729397520727,1.3916039777118802e-06,1.1728244111003468e-13,2.603746715252558e-27,0.001257661730051,0.0012709349393844,0.0012709349393844,0.0012709349393844,0.0012709572911262,4,70.79680180549622,1024,0.0001,0.08,12492,0,0
4,4,5.246434417787745,7.213769912719727,19.64691162109375,5.572225336949601,5.159225463867188,15.048391342163086,5.385307772064209,6.195999622344971,17.284000396728516,2.526605850383153e+28,1.6266957497110173,1.3778341238116219e-06,1.1608842237478515e-13,2.577629418114283e-27,0.0001358389854431,0.0001358389854431,0.0001358389854431,0.0001358389854431,0.0001358389854431,5,71.86451721191406,1024,0.0001,0.1,12492,0,0
5,5,4.967804238803212,9.550661087036133,24.46008682250977,5.510567121419392,6.540742874145508,18.13143920898437,5.258015812835693,8.104000091552734,21.549999237060547,1.0386369300648636e+28,0.9156940226652184,1.365447499529958e-06,1.1557782999091103e-13,2.5711302986535158e-27,0.003296285867691,0.0033925399184226,0.0033925399184226,0.0033925399184226,0.0033925399184226,6,68.91241431236267,1024,0.0001,0.1,12492,0,0
6,6,4.685285815919296,12.46972370147705,29.63530540466309,4.908168296236341,10.591632843017578,26.092723846435547,4.60391733291626,12.868000030517578,30.987998962402344,6.047954824668707e+27,0.6068789423728476,1.349079261266961e-06,1.146769138481041e-13,2.571351112030239e-27,0.0021163634955883,0.0021163634955883,0.0021163634955883,0.0021163634955883,0.0021163634955883,7,68.98945188522339,1024,0.0001,0.1,12492,0,0
7,7,4.464751548249301,14.869057655334473,33.64302444458008,4.8141570643562845,11.481423377990724,28.364032745361328,4.515315816345215,13.719999313354492,32.46799850463867,4.1512653213763736e+27,0.4116717747279575,1.3407316269411018e-06,1.1423520018896352e-13,2.559641391884863e-27,0.0015518926084041,0.0015532299876213,0.0015532299876213,0.0015532299876213,0.0015532299876213,8,69.03464341163635,1024,0.0001,0.1,12492,0,0
8,8,4.2692883407592,17.130889892578125,37.3606071472168,4.671920625113191,13.206368446350098,30.892911911010746,4.366691710205078,15.847999572753906,35.625999450683594,2.963290870958806e+27,0.2766232393225845,1.322322045233102e-06,1.1317863131078995e-13,2.5547431694053528e-27,0.0016139894723892,0.0016140006482601,0.0016140006482601,0.0016140006482601,0.0016142576932907,9,71.88881278038025,1024,0.0001,0.1,12492,0,0
9,9,4.110335463170556,19.400291442871094,40.45375442504883,4.876150269527715,12.246331214904783,29.05869483947754,4.599889167327881,14.743999481201172,33.577999114990234,2.3054953249813927e+27,0.21070678866639428,1.3125502708256133e-06,1.1265005575747577e-13,2.564036007808325e-27,0.0020596012473106,0.0020596012473106,0.0020596012473106,0.0020596012473106,0.0020596198737621,10,74.18777227401733,1024,0.0001,0.1,12492,0,0
10,10,3.965904656374704,21.23637580871582,43.25865173339844,4.581477465348209,15.134248733520508,33.531063079833984,4.287324156951905,17.829999923706055,38.30400085449219,1.8832366617742583e+27,0.13633252163322604,1.3023039097153626e-06,1.1316073602489025e-13,2.6906609097970485e-27,0.0013938546180725,0.0013938546180725,0.0013938546180725,0.0013938546180725,0.0013939291238784,11,69.02667117118835,1024,0.0001,0.1,12492,0,0
11,11,3.841647502259345,22.967756271362305,45.67375564575195,4.411292397376712,16.437713623046875,35.68529510498047,4.165044020233155,19.001998901367188,40.0359992980957,1.5749348999047773e+27,0.10918495606402961,1.2975924936039746e-06,1.1241390169916676e-13,2.6118505331224727e-27,0.0017781816422939,0.0017781816422939,0.0017781816422939,0.0017781816422939,0.0017781816422939,12,71.54850101470947,1024,0.0001,0.1,12492,0,0
12,12,3.721134733126351,24.6184024810791,47.8176383972168,4.387744102037366,17.343114852905273,37.176082611083984,4.08213383682251,20.20599937438965,42.43600082397461,1.3104319065722915e+27,0.08934630179891781,1.2925618998862447e-06,1.1277356508796688e-13,2.6730631084047915e-27,0.002905685454607,0.002905685454607,0.002905685454607,0.002905685454607,0.002905685454607,13,69.46968364715576,1024,0.0001,0.1,12492,0,0
13,13,3.6232743494469024,26.1101016998291,49.63353729248047,4.16857918165566,19.107086181640625,40.60255813598633,3.824793018035889,22.642000198364254,46.19999694824219,1.1351139033218032e+27,0.06734254408855828,1.2813843507752697e-06,1.1274974864853751e-13,2.707691637315401e-27,0.0033331364393234,0.003333143889904,0.003333143889904,0.003333143889904,0.0033331736922264,14,70.7941107749939,1024,0.0001,0.1,12492,0,0
14,14,3.525453253679721,27.71217918395996,51.55098724365234,4.381154238414735,18.31095695495605,37.699031829833984,4.063416135253906,21.10999870300293,42.63800048828125,1.0558154826195985e+27,0.07958726007111218,1.2776199548871423e-06,1.1244983508171923e-13,2.6846197797576202e-27,0.0020742155611515,0.0020742155611515,0.0020742155611515,0.0020742155611515,0.0020742155611515,15,70.82795262336731,1024,0.0001,0.1,12493,0,0
15,15,3.438140570786565,28.757946014404297,52.92221450805664,4.178003730529776,19.23977470397949,40.071807861328125,3.8179306201934815,22.78999900817871,46.055999755859375,9.31827241854662e+26,0.06385539015945123,1.2731641341763875e-06,1.1356561549519003e-13,2.8098297241728845e-27,0.0014448687434196,0.0014449469745159,0.0014449469745159,0.0014449469745159,0.0014450885355472,16,69.52216506004333,1024,0.0001,0.1,12493,0,0
16,16,3.360740971668708,30.020687103271484,54.47383499145508,4.209251149237398,19.169527053833008,40.04058456420898,3.913934272232056,21.941999435424805,45.003997802734375,9.127060848176177e+26,0.04216039910608409,1.2726072199164335e-06,1.149478697883838e-13,2.947997414038653e-27,0.0016029886901378,0.0016029961407184,0.0016029961407184,0.0016029961407184,0.0016030669212341,17,65.32842469215393,1024,0.0001,0.1,12493,0,0
17,17,3.278733380207297,31.321271896362305,55.88921356201172,3.923725124898643,22.70527648925781,45.14517593383789,3.549473667678833,26.88599967956543,51.30799865722656,8.713796964953334e+26,0.03868588136166942,1.2694131640129708e-06,1.14873751007558e-13,2.920845302116193e-27,2.4512410163879395e-05,2.4512410163879395e-05,2.4512410163879395e-05,2.4512410163879395e-05,2.4512410163879395e-05,18,68.54906129837036,1024,0.0001,0.1,12493,0,0
18,18,3.210800489752309,32.414974212646484,57.23395156860352,4.140668124658332,21.01935577392578,42.38994598388672,3.748184910888672,24.70599937438965,48.36399841308594,7.497199513413331e+26,0.03187227492429772,1.2661844038777073e-06,1.159314623717559e-13,2.9782128157247547e-27,0.0052739828824996,0.0052739828824996,0.0052739828824996,0.0052739828824996,0.0052739828824996,19,66.98375082015991,1024,0.0001,0.1,12493,0,0
19,19,3.151583211863964,33.46326446533203,58.30558013916016,4.211370164440678,20.15298080444336,41.38307571411133,3.887593421020508,23.90399932861328,47.205997467041016,7.385449875684561e+26,0.025200581064029615,1.2611008672078148e-06,1.1517168719471893e-13,2.9118798823504137e-27,0.0011179223656654,0.0011179223656654,0.0011179223656654,0.0011179223656654,0.0011179223656654,20,69.90115141868591,1024,0.0001,0.1,12493,0,0
20,20,3.0938009508371427,34.49831008911133,59.21762847900391,4.1226966142133366,21.12862968444824,42.86606216430664,3.795882809524536,24.479999542236328,48.5099983215332,6.877442777029385e+26,0.02708211966923305,1.25868917641323e-06,1.1573734960205232e-13,2.929484460201091e-27,0.0006549023091793,0.0006549283862113,0.0006549283862113,0.0006549283862113,0.0006550140678882,21,71.76216077804565,1024,0.0001,0.1,12493,0,0
21,21,3.0443723782339087,35.31637954711914,60.10634231567383,3.7598725075354023,25.5073356628418,49.03996276855469,3.3759952181243897,30.047998428344727,55.96399688720703,6.573888321640761e+26,0.020072840914434318,1.2578802131704901e-06,1.167476587816848e-13,3.023502035961819e-27,0.0019169002771377,0.0019169077277183,0.0019169077277183,0.0019169114530086,0.0019169226288795,22,66.66018271446228,1024,0.0001,0.1,12493,0,0
22,22,2.98673129346395,36.10921859741211,61.23788833618164,3.7547192086735777,25.71026992797852,48.665313720703125,3.4120646277618407,29.849998474121094,54.90999984741211,6.489336563374269e+26,0.021567989368827974,1.2576569155038316e-06,1.166696072124292e-13,2.9758076688249764e-27,0.0011594556272029,0.0011594556272029,0.0011594556272029,0.0011594556272029,0.0011594556272029,23,66.58821439743042,1024,0.0001,0.1,12493,0,0
23,23,2.9312340055901296,37.07046508789063,62.26914596557617,3.8365340573021744,24.85169982910156,47.97845458984375,3.497040897064209,28.709999084472656,53.69999694824219,6.237385767727204e+26,0.02286319829979722,1.256675697679891e-06,1.1667122207248285e-13,2.9629267783296903e-27,0.0023612715303897,0.0023613199591636,0.0023613199591636,0.0023613199591636,0.0023620724678039,24,66.43527722358704,1024,0.0001,0.1,12493,0,0
24,24,2.8867897687808624,37.80780029296875,62.99828338623047,4.151576179881934,22.50234031677246,44.27880096435547,3.7951556050109865,26.625999450683597,50.27799987792969,6.100490266346916e+26,0.018521706668698058,1.252853419186169e-06,1.156116102267253e-13,2.8760813400462137e-27,0.0022818706929683,0.0022818744182586,0.0022818744182586,0.0022818744182586,0.0022818930447101,25,65.3039002418518,1024,0.0001,0.1,12493,0,0
25,25,2.8386619056386366,38.67506790161133,63.79679870605469,3.8567624925785498,25.07024574279785,48.02528762817383,3.448137403259277,30.10400009155273,55.30999755859375,6.235217168493898e+26,0.01598200627735683,1.2530749436439034e-06,1.162702644051703e-13,2.9456752374346197e-27,0.000160027295351,0.0001608207821846,0.0001608282327651,0.0001608282327651,0.0001608543097972,26,72.05966997146606,1024,0.0001,0.1,12493,0,0
26,26,2.800976367034781,39.3013916015625,64.41239929199219,3.7052747920420703,26.49078941345215,49.58632278442383,3.3454751303100587,30.34199905395508,55.76799774169922,6.0108778283112425e+26,0.017355072255037268,1.251091862777835e-06,1.1696537926740952e-13,2.9874985471103637e-27,0.0027371570467948,0.0027372054755687,0.0027372054755687,0.002737209200859,0.0027372576296329,27,72.90035724639893,1024,0.0001,0.1,12493,0,0
